# waiting_times,queue_lengths
0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00
1.562484504861334500e-01,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00
1.041940609074494262e+00,0.000000000000000000e+00
2.599634790085154634e-01,0.000000000000000000e+00
1.649598427948943069e+00,0.000000000000000000e+00
2.127553026253995228e+00,0.000000000000000000e+00
3.023732749233928985e+00,1.000000000000000000e+00
1.630100597195323076e+00,1.000000000000000000e+00
1.026319063011996491e+00,1.000000000000000000e+00
1.337465769344134969e+00,2.000000000000000000e+00
2.023551132660891483e+00,0.000000000000000000e+00
3.308116135654639578e+00,1.000000000000000000e+00
4.607713903890022777e+00,2.000000000000000000e+00
3.737831310780933336e+00,3.000000000000000000e+00
2.833463046713234235e+00,3.000000000000000000e+00
2.000896187972561080e+00,3.000000000000000000e+00
2.680010364100887443e+00,4.000000000000000000e+00
7.129968320969730655e-01,1.000000000000000000e+00
2.319798671424123881e+00,1.000000000000000000e+00
2.922397239522840806e+00,2.000000000000000000e+00
6.047243494485059045e+00,2.000000000000000000e+00
4.835325630009197795e+00,2.000000000000000000e+00
5.127883624177094646e+00,3.000000000000000000e+00
7.040518091852604243e+00,3.000000000000000000e+00
7.713539445280886753e+00,4.000000000000000000e+00
7.144057615234331138e+00,5.000000000000000000e+00
6.049512266940311633e+00,5.000000000000000000e+00
3.285175025351072975e+00,3.000000000000000000e+00
2.889716967834139894e+00,3.000000000000000000e+00
2.367855135168888125e+00,3.000000000000000000e+00
1.758366214734749633e+00,3.000000000000000000e+00
1.731757903389237185e+00,4.000000000000000000e+00
1.746629460578112969e+00,3.000000000000000000e+00
1.121549980142461322e+00,1.000000000000000000e+00
1.640608846318791336e+00,0.000000000000000000e+00
6.343412592725456989e-01,0.000000000000000000e+00
6.610499192971914795e-01,0.000000000000000000e+00
2.932133679936370640e-01,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00
3.887637893656403776e-02,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00
4.141301176809832896e-01,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00
7.596634755725091281e-01,0.000000000000000000e+00
1.765150935895874795e+00,1.000000000000000000e+00
1.875778259912522117e+00,2.000000000000000000e+00
5.214782152659864778e-01,1.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00
1.020411649849805258e+00,0.000000000000000000e+00
1.821980869050392471e+00,1.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00
3.424575488870289064e+00,0.000000000000000000e+00
3.405259783267325702e+00,1.000000000000000000e+00
4.241397314061146062e-03,0.000000000000000000e+00
9.372762337629580998e-02,0.000000000000000000e+00
1.065438918144749891e+00,0.000000000000000000e+00
1.594294177740977148e+00,1.000000000000000000e+00
1.776370111664718365e+00,2.000000000000000000e+00
2.540196826879608238e+00,3.000000000000000000e+00
2.259885218981750654e+00,4.000000000000000000e+00
1.521786055753764799e+00,3.000000000000000000e+00
5.846219796825820936e+00,4.000000000000000000e+00
6.043209197891187046e+00,4.000000000000000000e+00
6.403974273731975586e+00,2.000000000000000000e+00
3.804130641178673500e+00,3.000000000000000000e+00
5.961027431542916588e+00,4.000000000000000000e+00
7.022213194946871795e+00,5.000000000000000000e+00
5.366712825160519174e+00,4.000000000000000000e+00
5.954348547572266170e+00,4.000000000000000000e+00
5.497658035839606327e+00,4.000000000000000000e+00
5.316297326983232097e+00,5.000000000000000000e+00
5.091340188647180298e+00,6.000000000000000000e+00
5.118562742861897163e+00,7.000000000000000000e+00
3.387411795948054305e+00,6.000000000000000000e+00
2.486208740633443881e+00,6.000000000000000000e+00
1.392059147770126515e+00,4.000000000000000000e+00
1.669820009937623695e+00,5.000000000000000000e+00
4.425062892274880255e+00,5.000000000000000000e+00
4.282110215550872567e+00,5.000000000000000000e+00
6.723309858827320795e+00,4.000000000000000000e+00
6.577694762726821409e+00,3.000000000000000000e+00
5.671588563643567227e+00,4.000000000000000000e+00
6.129183092045991543e+00,5.000000000000000000e+00
6.341064609657209417e+00,6.000000000000000000e+00
6.162434466448175385e+00,6.000000000000000000e+00
5.511121743939639828e+00,6.000000000000000000e+00
4.036541535590103535e+00,6.000000000000000000e+00
3.956564730191175272e+00,7.000000000000000000e+00
3.153694210621551974e+00,6.000000000000000000e+00
1.995726650208695219e+00,4.000000000000000000e+00
1.640874320560811839e+00,4.000000000000000000e+00
2.200076535351769280e+00,5.000000000000000000e+00
2.282035976767829766e+00,4.000000000000000000e+00
2.870150197574119488e+00,1.000000000000000000e+00
2.486011529711007029e+00,1.000000000000000000e+00
3.442809400172393453e+00,2.000000000000000000e+00
2.805696462508024069e+00,1.000000000000000000e+00
1.002740271242575432e+01,2.000000000000000000e+00
9.000520736511461450e+00,2.000000000000000000e+00
1.189301885087041910e+01,3.000000000000000000e+00
1.245686964368211136e+01,3.000000000000000000e+00
1.227477870466697141e+01,4.000000000000000000e+00
1.087330080780040475e+01,5.000000000000000000e+00
9.702488991846450972e+00,6.000000000000000000e+00
9.714742343683184345e+00,7.000000000000000000e+00
1.061933256712327989e+01,8.000000000000000000e+00
1.409476363360752771e+01,9.000000000000000000e+00
1.590119813890328260e+01,1.000000000000000000e+01
1.542456060852660471e+01,1.100000000000000000e+01
1.567095053408081640e+01,1.200000000000000000e+01
1.590031277742465932e+01,1.100000000000000000e+01
1.647697399976178190e+01,1.200000000000000000e+01
1.573427505514453628e+01,1.300000000000000000e+01
1.377761541530210820e+01,1.300000000000000000e+01
1.379829634018196316e+01,1.400000000000000000e+01
1.334604239259758174e+01,1.200000000000000000e+01
1.288029767896557587e+01,1.000000000000000000e+01
1.024955058849900524e+01,1.100000000000000000e+01
9.921460754232583668e+00,1.100000000000000000e+01
9.983875623239441666e+00,1.000000000000000000e+01
8.416962926975941173e+00,9.000000000000000000e+00
8.671298339629544216e+00,9.000000000000000000e+00
9.297024326445011866e+00,1.000000000000000000e+01
9.450817828947947419e+00,1.100000000000000000e+01
1.055903081907501928e+01,1.100000000000000000e+01
9.563439744276621468e+00,9.000000000000000000e+00
8.528847703217536491e+00,1.000000000000000000e+01
1.234262440297413832e+01,1.100000000000000000e+01
1.246499661143670323e+01,1.200000000000000000e+01
1.192880247957850770e+01,1.100000000000000000e+01
1.148039535016889090e+01,1.200000000000000000e+01
