# avg_waiting_times, avg_queue_lengths
7.787946612007158320e-01,1.210900000000000087e+00
9.119583986452782787e-01,1.443500000000000005e+00
7.740543015560759077e-01,1.200299999999999923e+00
9.422697769805691292e-01,1.500499999999999945e+00
8.782607973772809107e-01,1.387499999999999956e+00
8.595533020704319016e-01,1.337199999999999944e+00
1.077810535504240663e+00,1.783300000000000107e+00
9.174836926092698741e-01,1.481500000000000039e+00
9.919544519771403834e-01,1.603799999999999892e+00
8.743095717180733306e-01,1.379099999999999993e+00
1.032815296490947832e+00,1.667399999999999993e+00
9.355804455697418476e-01,1.495300000000000074e+00
8.716485678005218007e-01,1.352600000000000025e+00
9.232972236469404459e-01,1.450299999999999923e+00
8.668992569160808292e-01,1.367699999999999916e+00
9.829379266276677685e-01,1.576899999999999968e+00
9.440460564815466027e-01,1.502999999999999892e+00
1.048209810752813276e+00,1.701999999999999957e+00
9.367045077292983635e-01,1.503300000000000081e+00
8.842000993473581039e-01,1.420099999999999918e+00
1.079987518772856925e+00,1.746099999999999985e+00
1.070763945542870355e+00,1.738099999999999978e+00
8.957265284312274645e-01,1.422199999999999909e+00
1.088658159882509135e+00,1.782399999999999984e+00
1.050050110845664575e+00,1.721000000000000085e+00
9.748644371096968353e-01,1.576100000000000056e+00
1.011755270400856999e+00,1.633000000000000007e+00
9.333563981799154474e-01,1.481400000000000050e+00
8.668019582476373941e-01,1.364900000000000002e+00
8.521122423911907662e-01,1.350000000000000089e+00
9.420485593834954097e-01,1.512499999999999956e+00
9.557918631403723442e-01,1.506999999999999895e+00
8.889301493208131566e-01,1.413200000000000012e+00
8.802279720591850154e-01,1.373499999999999943e+00
8.850166971443184094e-01,1.405899999999999928e+00
8.922549283346197235e-01,1.422800000000000065e+00
9.659503843389073419e-01,1.558799999999999963e+00
9.933494794927928417e-01,1.593399999999999928e+00
9.036474517632901993e-01,1.453100000000000058e+00
8.954785904824907883e-01,1.427899999999999947e+00
9.092255556129815730e-01,1.458199999999999941e+00
1.003937462130146674e+00,1.578899999999999970e+00
8.872256327435453782e-01,1.393599999999999950e+00
8.733871735427477523e-01,1.357799999999999896e+00
1.077744191668873031e+00,1.749300000000000077e+00
9.792950152963280086e-01,1.591399999999999926e+00
1.004698224700871556e+00,1.611099999999999977e+00
8.947774248641602313e-01,1.405899999999999928e+00
9.100195539885483909e-01,1.405299999999999994e+00
9.441773864971600982e-01,1.540200000000000014e+00
1.088020045434326288e+00,1.748699999999999921e+00
9.434869525256963652e-01,1.467999999999999972e+00
9.120453229946231533e-01,1.447599999999999998e+00
9.684268414953561832e-01,1.536100000000000021e+00
8.534668457339744663e-01,1.344799999999999995e+00
9.928712192267609149e-01,1.578699999999999992e+00
1.023703517385640582e+00,1.647799999999999931e+00
8.925462366908138989e-01,1.409299999999999997e+00
8.933620696549366968e-01,1.389599999999999946e+00
8.740031895418866048e-01,1.377499999999999947e+00
9.110236897361723152e-01,1.458399999999999919e+00
8.839901314884235362e-01,1.393699999999999939e+00
9.554742382495023945e-01,1.523700000000000054e+00
9.252574484034546964e-01,1.475200000000000067e+00
9.940143939427267261e-01,1.611099999999999977e+00
9.143616917821932866e-01,1.454299999999999926e+00
9.277694040742986425e-01,1.464599999999999902e+00
9.544970157277581357e-01,1.518299999999999983e+00
9.939118231547403592e-01,1.576899999999999968e+00
9.670417294620521353e-01,1.577299999999999924e+00
9.752625865182817932e-01,1.577900000000000080e+00
9.502133531553234036e-01,1.532200000000000006e+00
9.438357732457712812e-01,1.533199999999999896e+00
1.074837404671044272e+00,1.762699999999999934e+00
9.744826933876032937e-01,1.542999999999999927e+00
9.114694917152948994e-01,1.472299999999999942e+00
8.494209088881118364e-01,1.331199999999999939e+00
9.134008897257074322e-01,1.477300000000000058e+00
1.005906054022609242e+00,1.607799999999999896e+00
9.475629533353275846e-01,1.503200000000000092e+00
9.445034001152716741e-01,1.508999999999999897e+00
9.740418971875678400e-01,1.540599999999999969e+00
1.031784560008906393e+00,1.684299999999999908e+00
8.719357111447690878e-01,1.363299999999999956e+00
9.386310906711969881e-01,1.474800000000000111e+00
9.671812598405257200e-01,1.525600000000000067e+00
9.328501272361472418e-01,1.490599999999999925e+00
9.899865674729133591e-01,1.585399999999999920e+00
1.054253630027692346e+00,1.706800000000000095e+00
9.693854436073710001e-01,1.545500000000000096e+00
9.681433044508432895e-01,1.529099999999999904e+00
8.203937540603568612e-01,1.308400000000000007e+00
9.688338919110274228e-01,1.557199999999999918e+00
9.451777906603834323e-01,1.502999999999999892e+00
9.919979675208838721e-01,1.580699999999999994e+00
7.846179162657310746e-01,1.229700000000000015e+00
9.225494507339150330e-01,1.473100000000000076e+00
9.452467321365433106e-01,1.518899999999999917e+00
1.036161189731645615e+00,1.685899999999999954e+00
9.644483346745007513e-01,1.548799999999999955e+00
8.448552754106778417e-01,1.344999999999999973e+00
9.826613076904916477e-01,1.592999999999999972e+00
8.536814333272716437e-01,1.318500000000000005e+00
9.306588809490063952e-01,1.517600000000000060e+00
8.716996994437867796e-01,1.396300000000000097e+00
9.010137794276833478e-01,1.427599999999999980e+00
1.078252070068151269e+00,1.715300000000000047e+00
8.917780956046833518e-01,1.469300000000000050e+00
9.642300807452691691e-01,1.540899999999999936e+00
9.652755859190250698e-01,1.534100000000000019e+00
9.068198077819376035e-01,1.475200000000000067e+00
9.519671531684420485e-01,1.532100000000000017e+00
9.161676856903863131e-01,1.470399999999999929e+00
9.258659548666706707e-01,1.486900000000000110e+00
1.052326009857492251e+00,1.685899999999999954e+00
9.322034078944007041e-01,1.491999999999999993e+00
9.095639923205380839e-01,1.440900000000000070e+00
9.157083688460603277e-01,1.462599999999999900e+00
9.463381214752989434e-01,1.524599999999999955e+00
9.247442433669995632e-01,1.488899999999999890e+00
9.813552913856062876e-01,1.612500000000000044e+00
9.382943324679162700e-01,1.499100000000000099e+00
1.021531734657904256e+00,1.629299999999999971e+00
9.534214329871701921e-01,1.537099999999999911e+00
1.013869882490490371e+00,1.619299999999999962e+00
1.012195231177569710e+00,1.651100000000000012e+00
9.519856293707922301e-01,1.546999999999999931e+00
1.013948551720857294e+00,1.646400000000000086e+00
9.003978935559207031e-01,1.409100000000000019e+00
9.603792217081505989e-01,1.538100000000000023e+00
8.454048661941433451e-01,1.323099999999999943e+00
9.770336902659495504e-01,1.587800000000000100e+00
1.009245614816761449e+00,1.609099999999999975e+00
9.162451183275236444e-01,1.451400000000000023e+00
8.801124961095890820e-01,1.408199999999999896e+00
1.113525270217664564e+00,1.824799999999999978e+00
9.816791197263260438e-01,1.577800000000000091e+00
1.022419949856892663e+00,1.669899999999999940e+00
8.978229455196680142e-01,1.423999999999999932e+00
9.596742298947615879e-01,1.533099999999999907e+00
9.177102050300632863e-01,1.456599999999999895e+00
9.422397828501216654e-01,1.482099999999999973e+00
9.848689579525496951e-01,1.558899999999999952e+00
8.525629621313648432e-01,1.316300000000000026e+00
9.741205526768861311e-01,1.550499999999999989e+00
9.802933557551656296e-01,1.598600000000000021e+00
9.440804831004420139e-01,1.488499999999999934e+00
8.340893526625677845e-01,1.295600000000000085e+00
8.037793469268167401e-01,1.247100000000000097e+00
9.084595884052388826e-01,1.433799999999999963e+00
1.164361575470677312e+00,1.877299999999999969e+00
9.049493362628608928e-01,1.436299999999999910e+00
1.091769741424526652e+00,1.757500000000000062e+00
1.017498436436332421e+00,1.652800000000000047e+00
9.176424882957475715e-01,1.477999999999999980e+00
9.153189981182858759e-01,1.438600000000000101e+00
8.709667177124805759e-01,1.375499999999999945e+00
9.960183996008872276e-01,1.608100000000000085e+00
8.678764433518614263e-01,1.360700000000000021e+00
8.860825943430551410e-01,1.410500000000000087e+00
9.537504688831927036e-01,1.538000000000000034e+00
9.756979490128498966e-01,1.569499999999999895e+00
9.282677257431701801e-01,1.489600000000000035e+00
8.806925946242990522e-01,1.366900000000000004e+00
9.953636685373419279e-01,1.591699999999999893e+00
9.091952129843592356e-01,1.409399999999999986e+00
9.413089604801496701e-01,1.513700000000000045e+00
9.390181029985360528e-01,1.470599999999999907e+00
9.025473500876530775e-01,1.435300000000000020e+00
9.435150149538310549e-01,1.525600000000000067e+00
9.307206611626043236e-01,1.464399999999999924e+00
8.788155080435284816e-01,1.381199999999999983e+00
9.686307650890666476e-01,1.567800000000000082e+00
9.086423097673094196e-01,1.468099999999999961e+00
9.446619186564843007e-01,1.520299999999999985e+00
9.194932743016742682e-01,1.484799999999999898e+00
9.507953812064900978e-01,1.536599999999999966e+00
8.536661710538533399e-01,1.370900000000000007e+00
1.009915009075245784e+00,1.629199999999999982e+00
8.709553765098336786e-01,1.394500000000000073e+00
9.571107272555476886e-01,1.514299999999999979e+00
1.100523968269640385e+00,1.811600000000000099e+00
9.451571601902425401e-01,1.502699999999999925e+00
9.698799052783133590e-01,1.566899999999999959e+00
9.224288760465045867e-01,1.451699999999999990e+00
8.710977989962817025e-01,1.371399999999999952e+00
9.077948302519748269e-01,1.435300000000000020e+00
1.003868468026193561e+00,1.589599999999999902e+00
8.399758920152551323e-01,1.320799999999999974e+00
9.790807065584733460e-01,1.586000000000000076e+00
8.236304299280836627e-01,1.303099999999999925e+00
8.495345514273673349e-01,1.358400000000000052e+00
8.989605531179757358e-01,1.442800000000000082e+00
9.283078323718282343e-01,1.467899999999999983e+00
1.026747709999831670e+00,1.658600000000000074e+00
1.013628692877175830e+00,1.635199999999999987e+00
9.217053344951560145e-01,1.483700000000000019e+00
9.194893998359487952e-01,1.468099999999999961e+00
