# avg_waiting_times, avg_queue_lengths
4.965870740300802666e+00,9.279600000000000293e+00
6.853610209807741604e+00,1.282740000000000080e+01
4.533888347027676069e+00,8.432199999999999918e+00
9.337570010332720827e+00,1.739010000000000034e+01
6.152185385258618133e+00,1.147230000000000061e+01
7.038516110568212802e+00,1.332349999999999923e+01
1.005446854334792306e+01,1.903300000000000125e+01
7.459551067207942587e+00,1.415659999999999918e+01
8.474217106648319842e+00,1.607300000000000040e+01
5.272302424935769949e+00,9.795600000000000307e+00
1.603824943353210486e+01,3.113830000000000098e+01
9.724808769568877409e+00,1.845459999999999923e+01
9.117164455044159510e+00,1.738520000000000110e+01
8.917756441630492859e+00,1.680839999999999890e+01
6.402798778939337687e+00,1.190130000000000088e+01
8.308138408293444854e+00,1.550510000000000055e+01
1.052625149182937569e+01,1.998250000000000171e+01
1.028553806531900250e+01,1.946020000000000039e+01
9.718221652137359001e+00,1.855249999999999844e+01
5.312351777676226128e+00,9.819800000000000750e+00
1.144298547251390552e+01,2.182959999999999923e+01
1.653549044484479680e+01,3.137430000000000163e+01
7.592383977669188155e+00,1.419379999999999953e+01
1.085859044979162036e+01,2.037559999999999860e+01
1.463261390395450334e+01,2.812480000000000047e+01
7.206189873175451233e+00,1.362550000000000061e+01
1.852952579998053295e+01,3.589639999999999986e+01
8.491941734034693212e+00,1.609090000000000131e+01
5.703754745557828798e+00,1.046480000000000032e+01
5.402818181894369687e+00,1.003749999999999964e+01
8.597520590915920025e+00,1.652230000000000132e+01
1.005481210029272710e+01,1.864130000000000109e+01
7.117665550282167075e+00,1.346669999999999945e+01
7.494453695066003895e+00,1.388480000000000025e+01
7.167063159741204892e+00,1.359340000000000082e+01
7.460154268561986157e+00,1.417880000000000074e+01
1.026078029795971780e+01,1.946869999999999834e+01
9.969534914119185132e+00,1.885999999999999943e+01
6.407036960895997169e+00,1.206770000000000032e+01
7.991126256225597579e+00,1.493169999999999931e+01
7.236971265782236706e+00,1.364049999999999940e+01
1.689246563185534811e+01,3.223100000000000165e+01
6.515334409629998547e+00,1.230170000000000030e+01
5.856889816449314168e+00,1.090450000000000053e+01
2.062058665493692899e+01,3.941129999999999711e+01
1.045023686856145240e+01,1.996590000000000131e+01
9.735778881544678853e+00,1.849950000000000117e+01
7.297860699301856435e+00,1.378379999999999939e+01
6.385711812862785663e+00,1.187710000000000043e+01
9.351588166257782220e+00,1.793890000000000029e+01
1.525123064125574324e+01,2.900710000000000122e+01
7.422775939520193766e+00,1.374590000000000067e+01
7.000760275973751945e+00,1.318140000000000001e+01
8.441276699742834566e+00,1.569950000000000045e+01
6.828986892825700039e+00,1.287129999999999974e+01
1.092403085099239313e+01,2.060050000000000026e+01
1.308150017673376730e+01,2.464260000000000161e+01
5.390262237387413613e+00,9.902100000000000790e+00
7.453050001553958026e+00,1.371059999999999945e+01
7.094385600108030765e+00,1.314649999999999963e+01
7.042964752316095201e+00,1.332409999999999961e+01
6.474113477610182521e+00,1.207179999999999964e+01
1.058337448331788266e+01,2.012219999999999942e+01
7.489443729225617297e+00,1.418120000000000047e+01
1.213188468489039451e+01,2.305420000000000158e+01
1.028684583656623275e+01,1.938589999999999947e+01
1.301013378962468714e+01,2.489000000000000057e+01
7.096000326721405571e+00,1.322729999999999961e+01
1.074920542033334314e+01,2.012109999999999843e+01
7.670391572140510483e+00,1.446959999999999980e+01
9.993294757583754517e+00,1.906259999999999977e+01
9.249179668651922981e+00,1.746959999999999980e+01
9.922320981030040343e+00,1.884530000000000172e+01
1.684388320936169592e+01,3.255709999999999837e+01
8.998386242672959057e+00,1.690139999999999887e+01
6.615687518318329019e+00,1.256460000000000043e+01
5.073968987212753134e+00,9.395400000000000418e+00
7.150677210090218061e+00,1.353190000000000026e+01
2.337259106095697803e+01,4.440420000000000300e+01
1.224142987337032729e+01,2.341669999999999874e+01
6.095859612120898774e+00,1.147039999999999971e+01
8.434150888168144178e+00,1.579219999999999935e+01
1.480568429487842330e+01,2.845319999999999894e+01
5.268742309414837344e+00,9.712999999999999190e+00
7.046695843669521508e+00,1.301609999999999978e+01
1.049529959309689531e+01,2.001620000000000132e+01
9.533633347998963004e+00,1.810650000000000048e+01
1.204328624096380906e+01,2.269699999999999918e+01
1.529226382295832209e+01,2.905079999999999885e+01
1.346681609284646086e+01,2.567220000000000013e+01
8.290262309483434677e+00,1.545480000000000054e+01
4.471299611655116024e+00,8.199099999999999611e+00
8.896387199980603455e+00,1.701490000000000080e+01
7.296936343838200223e+00,1.378759999999999941e+01
9.643641354713134106e+00,1.845700000000000074e+01
4.515187719132152111e+00,8.346099999999999852e+00
8.938627232467085904e+00,1.703190000000000026e+01
9.301453180262921450e+00,1.763360000000000127e+01
1.190427109762380731e+01,2.253849999999999909e+01
7.118043843774823465e+00,1.343989999999999974e+01
5.575337713766642445e+00,1.044100000000000072e+01
1.388096592581882227e+01,2.660589999999999833e+01
5.475989775619867217e+00,1.008750000000000036e+01
7.706188967464361106e+00,1.473690000000000033e+01
7.851498362036211986e+00,1.510710000000000086e+01
1.030344094842740077e+01,1.957100000000000151e+01
