# avg_waiting_times, avg_queue_lengths
1.430539711679708489e+03,1.787354499999999916e+03
1.366035320226053955e+03,1.702195999999999913e+03
1.383343838633021960e+03,1.720345700000000079e+03
1.242443065333112827e+03,1.575744500000000016e+03
1.384101010317293685e+03,1.726853599999999915e+03
1.375191475307343580e+03,1.674467900000000100e+03
1.421050345600386891e+03,1.761351200000000063e+03
1.335280232474655577e+03,1.684833800000000110e+03
1.405554363885212751e+03,1.756939200000000028e+03
1.391352754385819480e+03,1.713846700000000055e+03
1.387481001877600647e+03,1.734996799999999894e+03
1.367032571985797858e+03,1.722087199999999939e+03
1.362272168133875311e+03,1.701472500000000082e+03
1.399612329946298814e+03,1.719521099999999933e+03
1.454042356045227052e+03,1.815806800000000067e+03
1.263950531004514232e+03,1.584846199999999953e+03
1.367864129479396979e+03,1.713282500000000027e+03
1.404611904859478955e+03,1.735050500000000056e+03
1.315058585061004351e+03,1.668374399999999923e+03
1.373989965685356765e+03,1.721657699999999977e+03
1.319789050520138517e+03,1.646582499999999982e+03
1.390685483955873451e+03,1.735464999999999918e+03
1.417475834669267897e+03,1.767696999999999889e+03
1.408764414382374298e+03,1.727545100000000048e+03
1.312381659918076821e+03,1.672704899999999952e+03
1.317470095625086060e+03,1.678474600000000009e+03
1.453011145424957476e+03,1.829386400000000094e+03
1.327742330445354582e+03,1.655973600000000033e+03
1.439038952599288223e+03,1.773340200000000095e+03
1.254467149244791699e+03,1.583861100000000079e+03
1.307935594413745321e+03,1.648883599999999888e+03
1.365644949066904928e+03,1.682267700000000104e+03
1.363278544750145556e+03,1.724351400000000012e+03
1.393698951370376790e+03,1.715819600000000037e+03
1.297618759139160147e+03,1.637059700000000021e+03
1.301208532165395582e+03,1.663471700000000055e+03
1.399347122811350118e+03,1.751753600000000006e+03
1.422263142846812570e+03,1.762792200000000093e+03
1.452475609881302489e+03,1.807604499999999916e+03
1.477343379439779028e+03,1.820574200000000019e+03
1.309519046415898401e+03,1.678028700000000072e+03
1.311259701986965410e+03,1.663075900000000047e+03
1.253277059388322414e+03,1.591092499999999973e+03
1.491007361647377820e+03,1.824136799999999994e+03
1.417491389365331997e+03,1.758876400000000103e+03
1.334785559083291901e+03,1.683982199999999921e+03
1.347499036033863376e+03,1.724119300000000067e+03
1.381355848836954465e+03,1.713075700000000097e+03
1.432327453329226955e+03,1.770184899999999971e+03
1.438753974414040158e+03,1.786225300000000061e+03
1.428256585777677628e+03,1.784919100000000071e+03
1.388396951698770181e+03,1.730782699999999977e+03
1.406445922913623235e+03,1.755694099999999935e+03
