# avg_waiting_times, avg_queue_lengths
8.776767364064738631e-04,8.000000000000000383e-04
1.326188406202302977e-03,1.899999999999999996e-03
9.780528721138807662e-04,1.799999999999999951e-03
9.733976346803075276e-04,1.399999999999999986e-03
8.370532296813586052e-04,1.199999999999999895e-03
8.992028266590110881e-04,1.500000000000000031e-03
9.437368610717058320e-04,1.299999999999999940e-03
9.501768223761683074e-04,1.100000000000000066e-03
9.522687137911090482e-04,8.999999999999999754e-04
1.329401877775282601e-03,2.700000000000000143e-03
9.866083468100441539e-04,1.500000000000000031e-03
1.296051867754193692e-03,2.399999999999999790e-03
1.134347394596359453e-03,2.599999999999999881e-03
8.524960714918918383e-04,1.100000000000000066e-03
7.115535238011936854e-04,5.000000000000000104e-04
1.289992260811874273e-03,3.000000000000000062e-03
1.296361098750009036e-03,2.500000000000000052e-03
9.845654564846156951e-04,1.500000000000000031e-03
1.159144393312207862e-03,1.500000000000000031e-03
1.248993499908531996e-03,3.799999999999999992e-03
1.255267874760406920e-03,1.600000000000000077e-03
1.140728464112783069e-03,2.200000000000000133e-03
8.648822789807183867e-04,1.000000000000000021e-03
1.487235190676138019e-03,2.700000000000000143e-03
1.109323853318090834e-03,1.899999999999999996e-03
1.048201863385423826e-03,1.899999999999999996e-03
1.140857753763415946e-03,1.899999999999999996e-03
8.628873475227095101e-04,1.799999999999999951e-03
1.235291311922330753e-03,1.399999999999999986e-03
1.010010871398805748e-03,1.500000000000000031e-03
1.008189364061006215e-03,2.099999999999999870e-03
1.221526399542708068e-03,1.899999999999999996e-03
8.709835747707063772e-04,1.199999999999999895e-03
9.514662328499312724e-04,1.100000000000000066e-03
8.077542160897564858e-04,8.999999999999999754e-04
1.180139374838242447e-03,2.299999999999999961e-03
1.062517812483519501e-03,1.399999999999999986e-03
1.122165830056789633e-03,2.599999999999999881e-03
1.555405535279030024e-03,2.799999999999999972e-03
1.012413553270489087e-03,2.099999999999999870e-03
1.125866077723578981e-03,1.000000000000000021e-03
9.032102883922057263e-04,1.100000000000000066e-03
1.059548724404193098e-03,1.500000000000000031e-03
1.089132705619226711e-03,2.099999999999999870e-03
