# avg_waiting_times, avg_queue_lengths
5.623213874609028551e+00,2.222619999999999862e+01
6.107682202778020653e+00,2.373430000000000106e+01
9.758196720712337680e+00,3.881700000000000017e+01
2.149884956872698183e+01,8.396540000000000248e+01
5.389017058778156510e+00,2.092020000000000124e+01
7.319401269088197992e+00,2.852329999999999899e+01
1.428086841204578761e+01,5.548570000000000135e+01
9.708232026263043934e+00,3.815509999999999735e+01
9.268485546280343712e+00,3.659749999999999659e+01
6.235248924132839932e+00,2.430359999999999943e+01
2.166722674634188550e+01,8.512779999999999347e+01
1.371832740295413444e+01,5.416279999999999717e+01
1.483441425231973909e+01,5.840579999999999927e+01
1.396165739999373123e+01,5.462510000000000332e+01
8.708447987314395178e+00,3.409799999999999898e+01
8.108709586540411962e+00,3.136830000000000140e+01
2.642924478882840944e+01,1.042828999999999979e+02
1.020997285407754873e+01,3.985779999999999745e+01
1.349390761332619526e+01,5.325979999999999848e+01
4.578808143773366091e+00,1.767279999999999873e+01
2.230334655948957234e+01,8.856529999999999347e+01
2.754251487869379389e+01,1.069029000000000025e+02
7.589389770530507562e+00,2.920080000000000098e+01
1.320532209540268731e+01,5.128119999999999834e+01
3.335094472539105936e+01,1.346114000000000033e+02
7.450511034580245884e+00,2.892289999999999850e+01
2.175128093446624078e+01,8.640340000000000487e+01
1.525889592004661743e+01,6.021580000000000155e+01
4.893165242530947090e+00,1.860219999999999985e+01
5.036256220812070694e+00,1.968240000000000123e+01
1.630757982431281405e+01,6.497870000000000346e+01
1.738081888090512095e+01,6.696339999999999293e+01
7.876615918014332252e+00,3.095189999999999841e+01
8.059059626195161030e+00,3.132410000000000139e+01
6.172169502779651040e+00,2.416339999999999932e+01
9.669333491947124770e+00,3.816100000000000136e+01
1.026056876554695840e+01,3.996699999999999875e+01
1.409739738375022178e+01,5.555729999999999791e+01
8.996353331651267382e+00,3.541779999999999973e+01
1.036817851869992424e+01,4.042040000000000077e+01
6.715410537472216390e+00,2.623679999999999879e+01
2.627396798540041090e+01,1.023374000000000024e+02
5.957109595502510402e+00,2.322729999999999961e+01
9.153247312660930390e+00,3.554780000000000229e+01
5.729824783386030163e+01,2.237025999999999897e+02
1.258621895175737215e+01,4.983250000000000313e+01
1.966795215426257926e+01,7.760630000000000450e+01
9.283647879869036501e+00,3.660799999999999699e+01
5.664414682033368287e+00,2.182550000000000168e+01
1.257803161537843906e+01,4.937720000000000198e+01
2.540232867626291124e+01,1.003264000000000067e+02
6.503875567232609178e+00,2.515579999999999927e+01
6.819221418765824438e+00,2.672759999999999891e+01
1.043446862555117427e+01,4.034040000000000248e+01
6.642532838418356178e+00,2.604139999999999944e+01
2.399898028419123008e+01,9.360339999999999350e+01
1.934457684942173117e+01,7.505280000000000484e+01
5.589651020521865910e+00,2.157720000000000127e+01
1.325969152165241027e+01,5.117110000000000269e+01
1.137105884043474546e+01,4.418580000000000041e+01
9.318941403498419263e+00,3.644149999999999778e+01
7.765199425857533200e+00,3.033820000000000050e+01
1.479590504192301381e+01,5.786319999999999908e+01
8.865717556186707426e+00,3.476420000000000243e+01
2.411201433436275821e+01,9.513689999999999714e+01
1.488087668693310128e+01,5.852810000000000201e+01
2.828163935413287078e+01,1.116146999999999991e+02
7.922479215107706807e+00,3.080849999999999866e+01
2.057505343431890310e+01,8.067419999999999902e+01
2.188913294125264386e+01,8.623420000000000130e+01
2.543536280384981296e+01,1.008110999999999962e+02
1.601589417786229319e+01,6.298349999999999937e+01
1.678427566010365268e+01,6.579730000000000700e+01
4.000822163287545408e+01,1.576280999999999892e+02
1.807905225766076995e+01,7.131440000000000623e+01
6.804907422012276719e+00,2.687430000000000163e+01
5.418422357447058246e+00,2.095860000000000056e+01
7.297004634412842528e+00,2.884870000000000090e+01
2.529709427422974244e+01,9.689820000000000277e+01
2.721310118496796804e+01,1.075364000000000004e+02
5.315969517606517591e+00,2.087099999999999866e+01
1.148591731277529782e+01,4.465870000000000317e+01
3.454618363903686173e+01,1.363391000000000020e+02
4.825317408808699859e+00,1.869279999999999831e+01
6.528745459376683158e+00,2.507629999999999981e+01
2.442006711261318941e+01,9.700889999999999702e+01
1.138534074548300978e+01,4.483449999999999847e+01
2.428121468322535392e+01,9.541750000000000398e+01
2.460566357629610579e+01,9.560429999999999495e+01
1.694534859921460779e+01,6.655910000000000082e+01
1.292357623557352397e+01,5.066830000000000211e+01
3.290186953882194398e+00,1.259319999999999951e+01
1.112298510382825967e+01,4.405109999999999815e+01
1.322538606566151387e+01,5.234290000000000020e+01
9.470747751969035733e+00,3.731819999999999737e+01
3.487564929355481791e+00,1.341189999999999927e+01
1.547470102667693936e+01,6.108299999999999841e+01
8.939280437383795075e+00,3.503170000000000073e+01
1.614668376665919070e+01,6.375670000000000215e+01
9.193470496444467344e+00,3.598539999999999850e+01
7.938412751389578581e+00,3.122109999999999985e+01
2.091719074846114879e+01,8.170650000000000546e+01
6.678252051277973500e+00,2.601579999999999870e+01
1.214136192865723274e+01,4.881360000000000099e+01
1.057120769159340057e+01,4.212639999999999674e+01
2.387895310503801127e+01,9.410790000000000077e+01
2.896856787522244403e+01,1.123275000000000006e+02
1.235157281010249797e+01,4.919519999999999982e+01
1.093455081245722482e+01,4.272169999999999845e+01
6.417438411665115083e+00,2.476790000000000092e+01
7.885243475404891456e+00,3.086830000000000140e+01
2.596775683323601314e+01,1.031222999999999956e+02
5.326262579295932831e+00,2.051480000000000103e+01
1.023778586380587896e+01,4.043189999999999884e+01
3.652825527666001904e+01,1.423428999999999860e+02
1.187976365702675174e+01,4.668030000000000257e+01
2.166366350706170962e+01,8.412160000000000082e+01
9.576680101080366825e+00,3.778450000000000131e+01
1.699897548328883445e+01,6.694519999999999982e+01
1.906672053325019078e+01,7.554309999999999548e+01
3.843104513876010486e+01,1.516834000000000060e+02
1.241539989437321445e+01,4.862989999999999924e+01
1.397784364700100213e+01,5.415420000000000300e+01
1.526223115684691045e+01,6.012380000000000280e+01
2.865523764210632152e+01,1.125875999999999948e+02
1.876509342411419823e+01,7.385769999999999413e+01
2.234417638352810087e+01,8.872159999999999513e+01
2.816786359571853993e+01,1.114976999999999947e+02
6.014681834040196406e+00,2.272479999999999833e+01
9.268031629867397925e+00,3.667949999999999733e+01
5.498161964494550524e+00,2.097380000000000067e+01
7.464827630243529022e+00,2.925339999999999918e+01
3.111746864577978755e+01,1.212896999999999963e+02
1.170615026769316813e+01,4.580030000000000001e+01
6.476668100065884559e+00,2.539470000000000027e+01
1.804683335951606438e+01,7.070560000000000400e+01
1.898690747459261985e+01,7.433020000000000493e+01
1.642823354693300075e+01,6.470010000000000616e+01
1.575107028469847315e+01,6.199060000000000059e+01
1.909951998093846370e+01,7.555729999999999791e+01
5.048546966945173686e+00,1.937229999999999919e+01
1.393865480139925417e+01,5.492730000000000246e+01
1.041876893573524043e+01,3.997390000000000043e+01
6.207852208786700743e+00,2.382059999999999889e+01
1.688225468931538487e+01,6.660179999999999723e+01
1.306889666169674591e+01,5.154520000000000124e+01
8.166317368225405104e+00,3.175929999999999964e+01
5.212347315656470137e+00,2.052590000000000003e+01
3.946079099962698233e+00,1.512379999999999924e+01
9.192245476666116133e+00,3.606669999999999732e+01
1.611661314681260038e+01,6.240240000000000009e+01
9.751911248929904019e+00,3.837639999999999674e+01
1.948948702908462849e+01,7.640659999999999741e+01
1.959807084495369267e+01,7.741599999999999682e+01
8.971169870290310655e+00,3.575909999999999656e+01
6.670716499919249642e+00,2.591420000000000101e+01
6.001357530425288189e+00,2.317449999999999832e+01
9.250988460156500892e+00,3.573479999999999990e+01
5.710966830174835529e+00,2.226970000000000027e+01
1.589778856252347161e+01,6.353900000000000148e+01
1.373044267741850710e+01,5.408250000000000313e+01
7.649376019550255812e+00,2.979830000000000112e+01
1.308077944757415167e+01,5.112879999999999825e+01
8.011057262152085912e+00,3.121470000000000056e+01
2.320853046287821542e+01,9.137789999999999679e+01
5.707501066539723666e+00,2.187359999999999971e+01
1.718607499167739761e+01,6.709980000000000189e+01
1.181333075348601191e+01,4.606869999999999976e+01
