# avg_waiting_times, avg_queue_lengths
7.878733138553886128e-01,6.204699999999999882e+00
8.488132044567184842e-01,6.611299999999999955e+00
1.084688137817224840e+00,8.562300000000000466e+00
2.295901412190722635e+00,1.794699999999999918e+01
8.036910151314728967e-01,6.270199999999999996e+00
9.602850253517328794e-01,7.507600000000000051e+00
1.596482226190420350e+00,1.254540000000000077e+01
1.191604050008807869e+00,9.412699999999999179e+00
1.159211983763765330e+00,9.186999999999999389e+00
8.820367655859948641e-01,6.913000000000000256e+00
2.255427439621658259e+00,1.795690000000000097e+01
1.514333706950846015e+00,1.199510000000000076e+01
1.585654796797804744e+00,1.249460000000000015e+01
1.623884813417554085e+00,1.271959999999999980e+01
1.089110401718010213e+00,8.538199999999999790e+00
1.044589564653461089e+00,8.128199999999999648e+00
2.649573698455176096e+00,2.091860000000000142e+01
1.262500318229452301e+00,9.936700000000000088e+00
1.554606810171547560e+00,1.230770000000000053e+01
7.315721555579777213e-01,5.707600000000000229e+00
2.251768634296285931e+00,1.795200000000000173e+01
2.743391661846346530e+00,2.148199999999999932e+01
9.792632073516531754e-01,7.590600000000000236e+00
1.528216881330999977e+00,1.199530000000000030e+01
3.148571345780623698e+00,2.545530000000000115e+01
1.046963486484802974e+00,8.168699999999999406e+00
2.239407630111158731e+00,1.783389999999999986e+01
1.622200683501190843e+00,1.282939999999999969e+01
7.645098741536916487e-01,5.879500000000000171e+00
7.634524626002942016e-01,5.989700000000000024e+00
1.664824352691357090e+00,1.331969999999999921e+01
1.816791367958549008e+00,1.403630000000000067e+01
1.068332958891146767e+00,8.416499999999999204e+00
1.049977257600124947e+00,8.173700000000000188e+00
8.571233542620806389e-01,6.767999999999999794e+00
1.169722840259420416e+00,9.246000000000000441e+00
1.227673415214648234e+00,9.681699999999999307e+00
1.557043784731312996e+00,1.229449999999999932e+01
1.180883919977808283e+00,9.343099999999999739e+00
1.212470357657574382e+00,9.477199999999999847e+00
9.341999296279934750e-01,7.357700000000000351e+00
2.661396813902831671e+00,2.086929999999999907e+01
8.672734895729887761e-01,6.756300000000000416e+00
1.109932444501783966e+00,8.650199999999999889e+00
5.239189474062916574e+00,4.114589999999999748e+01
1.558376232382828741e+00,1.240179999999999971e+01
1.957273354556958722e+00,1.546899999999999942e+01
1.135515427317967285e+00,8.948100000000000165e+00
7.830580150893198255e-01,6.024499999999999744e+00
1.433076173222468386e+00,1.134379999999999988e+01
2.639853992087241252e+00,2.090919999999999845e+01
8.969489803120282989e-01,6.911500000000000199e+00
9.385037097494139946e-01,7.344599999999999795e+00
1.296255715289899246e+00,1.008460000000000001e+01
9.652198605023806222e-01,7.583499999999999908e+00
2.385968423658209048e+00,1.864049999999999940e+01
2.065687840764669936e+00,1.616479999999999961e+01
8.585679254894003076e-01,6.649700000000000166e+00
1.507641208712024783e+00,1.164949999999999974e+01
1.300146742891572726e+00,1.009469999999999956e+01
1.169402918659172119e+00,9.219200000000000728e+00
1.015972477233889837e+00,7.949699999999999989e+00
1.667687198078710908e+00,1.307240000000000002e+01
1.142759698122896239e+00,9.018499999999999517e+00
2.320300323838706102e+00,1.832839999999999847e+01
1.674140012688958068e+00,1.320379999999999932e+01
2.760179559424227769e+00,2.182120000000000104e+01
1.064200562715622356e+00,8.322900000000000631e+00
2.179414814580723725e+00,1.709410000000000096e+01
2.058372847821502205e+00,1.630890000000000128e+01
2.398666537419297473e+00,1.908640000000000114e+01
1.770868538323643326e+00,1.403209999999999980e+01
1.872868665791636467e+00,1.475350000000000072e+01
3.521556190370620065e+00,2.791329999999999956e+01
1.834092994633196527e+00,1.446969999999999956e+01
9.408676062042683474e-01,7.458000000000000185e+00
8.060700665050540836e-01,6.262699999999999712e+00
9.818058899536205031e-01,7.792600000000000193e+00
2.704638010088993738e+00,2.088530000000000086e+01
2.762647232172511735e+00,2.194579999999999842e+01
8.300049380135975374e-01,6.529200000000000337e+00
1.297547470681581494e+00,1.013979999999999926e+01
3.174797203843128024e+00,2.532260000000000133e+01
7.403808670967527705e-01,5.740700000000000358e+00
8.712344379499823432e-01,6.672399999999999665e+00
2.323279149201187721e+00,1.848179999999999978e+01
1.384239980033650230e+00,1.089390000000000036e+01
2.450787034969087674e+00,1.928810000000000002e+01
2.563594007250308504e+00,2.001310000000000144e+01
1.838618288865014661e+00,1.449220000000000041e+01
1.402815885192890244e+00,1.097509999999999941e+01
5.718493560011406185e-01,4.406799999999999606e+00
1.391910946088336098e+00,1.113419999999999987e+01
1.467574927569215371e+00,1.161640000000000050e+01
1.209593231403703228e+00,9.560700000000000642e+00
5.910528158211003635e-01,4.537399999999999878e+00
1.742885727345120594e+00,1.377880000000000038e+01
1.185546408226339610e+00,9.292400000000000659e+00
1.828059266075021227e+00,1.446470000000000056e+01
1.169585014256073974e+00,9.184499999999999886e+00
1.055094999224475139e+00,8.321899999999999409e+00
2.168779342365951823e+00,1.702700000000000102e+01
9.148108133330917768e-01,7.119600000000000151e+00
1.398774303181094636e+00,1.126229999999999976e+01
1.238093471163309811e+00,9.867900000000000560e+00
2.368337780036623208e+00,1.868039999999999878e+01
3.038344670388033908e+00,2.373130000000000095e+01
1.389759896109278303e+00,1.114630000000000010e+01
1.346790467892912346e+00,1.053969999999999985e+01
9.312958810795191056e-01,7.242700000000000138e+00
9.881413913901840873e-01,7.759400000000000297e+00
2.413053566323621446e+00,1.921529999999999916e+01
8.533061346922197199e-01,6.637699999999999712e+00
1.230330185626614004e+00,9.751799999999999358e+00
3.492929685697794717e+00,2.736120000000000019e+01
1.422633029444106079e+00,1.119589999999999996e+01
2.305672054077111621e+00,1.802270000000000039e+01
1.217000549982090174e+00,9.604499999999999815e+00
1.928467173950254354e+00,1.524920000000000009e+01
1.963661170187796179e+00,1.562950000000000017e+01
3.584948782515134269e+00,2.842999999999999972e+01
1.518983864820490526e+00,1.195989999999999931e+01
1.601927070233291950e+00,1.252449999999999974e+01
1.707951301530982846e+00,1.347289999999999921e+01
2.825530350704955396e+00,2.230409999999999826e+01
1.990083763705364328e+00,1.576350000000000051e+01
2.281941808848639841e+00,1.816499999999999915e+01
2.800021904463583677e+00,2.225499999999999901e+01
8.107093949605755911e-01,6.187500000000000000e+00
1.134513327232453239e+00,9.003899999999999793e+00
7.797359634085258007e-01,6.007299999999999862e+00
1.003025445542579996e+00,7.918300000000000338e+00
3.140956465223129435e+00,2.458269999999999911e+01
1.422910135707148971e+00,1.118239999999999945e+01
8.565234241776310542e-01,6.741100000000000314e+00
1.998085416789900037e+00,1.581450000000000067e+01
2.046667904089066514e+00,1.609189999999999898e+01
1.742152172360017293e+00,1.376099999999999923e+01
1.735805570007434184e+00,1.370100000000000051e+01
2.094026339151614735e+00,1.660539999999999949e+01
8.019442486727308417e-01,6.203700000000000436e+00
1.605607080853984625e+00,1.264969999999999928e+01
1.257375885495846113e+00,9.713699999999999335e+00
8.831169570119423717e-01,6.783500000000000085e+00
1.815674807605698549e+00,1.437180000000000035e+01
1.531497380323452839e+00,1.212679999999999936e+01
1.071237458984057644e+00,8.362199999999999633e+00
7.587740506767746140e-01,5.934599999999999653e+00
6.621514652992319672e-01,5.113000000000000433e+00
1.177105570231417708e+00,9.248499999999999943e+00
1.863425215457454653e+00,1.455160000000000053e+01
1.106113964415629036e+00,8.765599999999999170e+00
2.053990940375932883e+00,1.620570000000000022e+01
2.049328430094558229e+00,1.626450000000000173e+01
1.128491901334999215e+00,8.994699999999999918e+00
9.594330624200835267e-01,7.478799999999999670e+00
8.834108817990729001e-01,6.845100000000000406e+00
1.182181376900164560e+00,9.248300000000000409e+00
7.764862650471576755e-01,6.035400000000000098e+00
1.747823291609434726e+00,1.397160000000000046e+01
1.610405945903283564e+00,1.273590000000000089e+01
1.016191550891329065e+00,8.005699999999999150e+00
1.499374005260304621e+00,1.181450000000000067e+01
1.075981208667105893e+00,8.373599999999999710e+00
2.401161987615401117e+00,1.891440000000000055e+01
8.493218511024067663e-01,6.546899999999999942e+00
1.867336018084218008e+00,1.464039999999999964e+01
1.439333332566642865e+00,1.122739999999999938e+01
1.181074582814429785e+00,9.230700000000000571e+00
1.484016191001397145e+00,1.186519999999999975e+01
1.149203869702404290e+00,8.835200000000000387e+00
1.069362883698168565e+00,8.339299999999999713e+00
1.622959296048584354e+00,1.280369999999999919e+01
9.233994638081834960e-01,7.202899999999999636e+00
1.340705519836751014e+00,1.062940000000000040e+01
9.922175770419259244e-01,7.744200000000000195e+00
1.975558936415801936e+00,1.576929999999999943e+01
8.147957528167073527e-01,6.441799999999999748e+00
2.325460671692202386e+00,1.835369999999999990e+01
9.153530054680067973e-01,7.180100000000000371e+00
1.230005529754364613e+00,9.553300000000000125e+00
2.840961773992455086e+00,2.230389999999999873e+01
1.930363704291037985e+00,1.513850000000000051e+01
1.167094739447736451e+00,9.205600000000000449e+00
1.764201538919373036e+00,1.392399999999999949e+01
8.064370439735637497e-01,6.289799999999999613e+00
1.055381917911029310e+00,8.252399999999999736e+00
2.282675147614093181e+00,1.770680000000000121e+01
7.904627540804103347e-01,6.157399999999999984e+00
1.734353443389424765e+00,1.365329999999999977e+01
8.270755269193550419e-01,6.482199999999999740e+00
9.346973843066677112e-01,7.398600000000000065e+00
7.767032007813868821e-01,6.116299999999999848e+00
1.110859603929028161e+00,8.721099999999999852e+00
2.231646866042790833e+00,1.765419999999999945e+01
1.503415725128023128e+00,1.191949999999999932e+01
9.169739622760847420e-01,7.151799999999999713e+00
1.696640690091969716e+00,1.344849999999999923e+01
9.975006503720776907e-01,7.876800000000000246e+00
1.947279618374170296e+00,1.548119999999999941e+01
1.138533164369144979e+00,8.923999999999999488e+00
1.081097550536436858e+00,8.643100000000000449e+00
1.158143633546227624e+00,8.889099999999999113e+00
1.202725880177827555e+00,9.422399999999999665e+00
2.703105542298869235e+00,2.107039999999999935e+01
7.966607572169256413e-01,6.129500000000000171e+00
1.238170968783893766e+00,9.716400000000000148e+00
1.960068122941597490e+00,1.538610000000000078e+01
1.557642201078941246e+00,1.218529999999999980e+01
3.097242180280992851e+00,2.460279999999999845e+01
1.283892210810702927e+00,1.016159999999999997e+01
2.308258179272688171e+00,1.811520000000000152e+01
8.448976991746498522e-01,6.695899999999999963e+00
7.945776312628924920e-01,6.255099999999999660e+00
1.420347951372813000e+00,1.127340000000000053e+01
7.532903459564118664e-01,5.833700000000000330e+00
1.012465412500016537e+00,8.049699999999999633e+00
1.587190782688630231e+00,1.237100000000000044e+01
1.018912296153396291e+00,7.988699999999999690e+00
8.472630503181087791e-01,6.569399999999999906e+00
1.169587484227114338e+00,9.250600000000000378e+00
8.827055173099938035e-01,6.874100000000000321e+00
1.159808905181878513e+00,9.116500000000000270e+00
1.302449095183302763e+00,1.021199999999999974e+01
8.485914145920944174e-01,6.619900000000000340e+00
1.051354335827254349e+00,8.157400000000000873e+00
1.246886520386666364e+00,9.846600000000000463e+00
1.392926758462671888e+00,1.086320000000000086e+01
1.434080820546288493e+00,1.139719999999999978e+01
1.063489380643330540e+00,8.334600000000000009e+00
7.239397858412847109e-01,5.638300000000000090e+00
8.700733474258446343e-01,6.860999999999999766e+00
3.167911692069498741e+00,2.526950000000000074e+01
7.997334847929209456e-01,6.365499999999999936e+00
1.488508285624092320e+00,1.176040000000000063e+01
